doc_id,subcorpus,focal_gender,sent_id,clause_id,role,voice,agent_present,process_type,modality,hedge,override_note,text_span,focal_found,root_is_verb,needs_review
H00331,human,male,1,1,absent,none,,material,no,no,,"""I saw them in one of the last games under Felix Magath, (a 1-0 defeat) at home to Wolves,",no,no,yes
H00331,human,male,1,2,subject,active,,mental,no,no,,"at that time they were struggling, there was no mentality, nothing in the team,"" he said.",yes,yes,no
H00066,human,female,1,1,subject,active,,mental,no,no,,"A spokesman said if the doll thinks she has heard a swear word,",yes,yes,no
H00066,human,female,1,2,absent,none,,material,no,no,,anything related to race,no,no,yes
H00066,human,female,1,3,absent,none,,material,no,no,,"body parts, any internet searches are automatically shut down.",no,no,yes
H00345,human,male,1,1,subject,active,,mental,no,no,,He says councils are being forced to earmark more,yes,yes,no
H00345,human,male,1,2,absent,none,,material,no,no,,more land for housing,no,no,yes
H00345,human,male,1,3,absent,none,,material,no,no,,risk falling foul of the development presumption that leaves them little power to block projects they think excessive.,no,no,yes
H00286,human,male,1,1,subject,active,,material,yes,no,,"President Obama's statement reiterates one he made earlier this week, when he urged Scottish voters not to break apart 'one of the closest allies we'll ever have' by voting for independence on Thursday.",yes,yes,no
H00181,human,female,1,1,subject,active,,material,no,no,,"The agency, she said, has tried for 20 years to have more oversight of compounding pharmacies",yes,yes,no
H00181,human,female,1,2,absent,none,,material,no,no,,has faced challenges by the industry.,no,no,yes
H00301,human,male,1,1,subject,active,,mental,yes,no,,"'I will have to work two to four hours a day,' he said. '",yes,yes,no
H00301,human,male,2,1,absent,none,,relational,no,no,,I am not sure when it starts,no,no,yes
H00301,human,male,2,2,absent,none,,material,yes,yes,,I will report to the local penal service authority later today.,no,no,yes
H00163,human,female,1,1,absent,none,,material,no,no,,"It did not have to be this way, they were not ordered to go to Afghanistan together,",no,yes,yes
H00163,human,female,1,2,subject,active,,material,no,no,,Frances Johnson volunteered since she had not yet deployed during the six years she has been enlisted.,yes,no,yes
H00211,human,male,1,1,subject,active,,mental,no,no,,"""At a banal level, it's a little bit of color in our lives is gone,"" he said.",yes,yes,no
H00272,human,male,1,1,subject,active,,relational,no,no,,He was also guilty of biting during his time in the Netherlands with Ajax where he was banned for seven games,yes,no,yes
H00272,human,male,1,2,absent,none,,material,no,no,,leaving a scar on the collarbone of Otman Bakkal.,no,no,yes
H00105,human,female,1,1,subject,passive,no,material,no,no,,She was ranked second in the U.S,yes,yes,no
H00105,human,female,1,2,absent,none,,material,no,no,,fourth in the world entering the competition.,no,no,yes
H00166,human,female,1,1,absent,none,,material,no,no,,"'Ever wanted to draw a Disney-style chick,",no,yes,yes
H00166,human,female,1,2,subject,active,,material,no,no,,she ended up looking like a deformed Paris Hilton bobblehead?',yes,no,yes
H00265,human,male,1,1,subject,active,,relational,no,no,,'He . is one of the lucky ones.,yes,no,yes
H00314,human,male,1,1,absent,none,,material,no,no,,"So if your child comes home in the leadup to Columbus Day, like mine did, full of praise for the explorer's bravery",no,no,yes
H00314,human,male,1,2,subject,active,,relational,no,no,,"vision, that's a fine place to start, even if he didn't really ""discover"" the Americas",yes,no,yes
H00314,human,male,1,3,absent,none,,material,no,no,,figure out that the Earth was round.,no,no,yes
H00344,human,male,1,1,absent,none,,material,no,no,,"Weddle's close friend, artist",no,no,yes
H00344,human,male,1,2,absent,none,,material,no,no,,"designer Rick Elden, remembers that day well",no,yes,yes
H00344,human,male,1,3,subject,active,,material,no,no,,he had brought his 4-month-old son to the pool for Weddle to shoot.,yes,no,yes
H00231,human,male,1,2,subject,active,,material,no,no,,"then, he catches himself --",yes,yes,no
H00231,human,male,1,3,absent,none,,material,no,no,,corrects himself.,no,no,yes
H00213,human,male,1,1,subject,active,,material,no,no,,"Wafer, whose lawyer said he shot the victim in self-defense, was charged with second-degree murder last month",yes,yes,no
H00213,human,male,1,2,absent,none,,material,no,no,,days of pressure from McBride's relatives seeking an arrest.,no,no,yes
H00089,human,female,1,1,absent,none,,material,no,no,,'Senseless',no,no,yes
H00089,human,female,1,2,subject,active,,mental,no,no,,Prosecutor Jean Baker said there is no clear motive for the attack as she announced the charges .,yes,yes,no
H00324,human,male,1,1,subject,active,,material,no,no,,"He . burned through a slate of seven high-powered attorneys, including .",yes,yes,no
H00178,human,female,1,1,absent,none,,material,no,no,,Left,no,no,yes
H00178,human,female,1,2,subject,active,,mental,no,no,,Jamaliah (left) said she recognised her daughter immediately from her 'characteristic' facial features,yes,yes,no
H00090,human,female,1,1,subject,active,,material,no,no,,so she decided to quit the beds.,yes,yes,no
H00091,human,female,1,2,subject,active,,relational,no,no,,she is subversively sexy without trying.,yes,no,yes
H00255,human,male,1,2,subject,active,,material,no,no,,"yet, just four years later, he produced a series of papers that turned the world of science on its head.",yes,yes,no
H00226,human,male,1,1,subject,active,,material,no,no,,"Florida teenager Andrew Anderson, 19, was arrested on Tuesday by Collier County police for giving away discounts to customers he believed were in need at an East Naples store.",yes,yes,no
H00228,human,male,1,1,subject,active,,mental,no,no,,"""I think now it's only a question of time,"" NATO Secretary-General Anders Fogh Rasmussen said in Brussels, Belgium, where he",yes,yes,no
H00228,human,male,1,2,absent,none,,material,no,no,,Dutch Prime Minister Mark Rutte announced the deployment of two Patriot air-defense batteries to Turkey's border with Syria.,no,no,yes
H00067,human,female,1,1,subject,active,,material,no,no,,She sold the airplane,yes,no,yes
H00067,human,female,1,2,absent,none,,mental,no,no,,"fired the chef,"" McCain said, referring to Palin's efforts to put her predecessor's state jet up for auction on eBay",no,yes,yes
H00067,human,female,1,3,absent,none,,material,no,no,,her dismissal of the governor's personal chef.,no,no,yes
H00047,human,female,1,1,subject,active,,material,yes,no,,"Naturally, she would know who should win.",yes,yes,no
H00312,human,male,1,2,subject,active,,material,no,no,,"Sellu knew his patient had a perforated bowel, he failed to operate for 40 hours, the jury was told.",yes,yes,no
H00073,human,female,1,1,subject,active,,material,no,no,,She has no official link with the organisation,yes,yes,no
H00073,human,female,1,2,subject,active,,material,yes,no,,it is hoped that she might forge one in future.,yes,no,yes
H00086,human,female,1,2,subject,passive,no,material,no,no,,despite the efforts of paramedics she was pronounced dead upon her arrival at Birmingham Children's Hospital.,yes,yes,no
H00218,human,male,1,1,absent,none,,material,no,no,,A burglar coming down off amphetamine was caught,no,yes,yes
H00218,human,male,1,2,subject,active,,material,no,no,,having sex with a teddy bear at the property he broke into.,yes,no,yes
H00220,human,male,1,1,absent,none,,mental,no,no,,Mr Crossan said,no,yes,yes
H00220,human,male,1,2,subject,passive,no,material,no,no,,'There was no indication in the game that he was being charged for any of the clicks made within it.,yes,no,yes
H00054,human,female,1,1,subject,active,,mental,no,no,,"She said police told her they have ""enough evidence to convict somebody.""",yes,yes,no
H00027,human,female,1,2,subject,active,,material,no,yes,,"Ms Montenegro said she had no 'horror stories' to tell about her time as an escort, she desperately tried to turn her back on the industry.",yes,yes,no
H00263,human,male,1,1,subject,active,,material,no,no,,"'Ukip believes in seeking new ideas to ensure the NHS provides the highest quality of care,' he added.",yes,yes,no
H00223,human,male,1,1,subject,active,,material,no,no,,He explained why by describing the last video he watched from Syria.,yes,yes,no
H00209,human,male,1,1,subject,active,,material,no,no,,"He referred to the bipartisan bill that passed the Senate,",yes,no,yes
H00209,human,male,1,2,absent,none,,material,no,no,,"has little hope of being brought up in the Republican-controlled House, saying, ""A year",no,no,yes
H00209,human,male,1,3,absent,none,,material,no,no,,"a half ago, the Senate passed a bipartisan bill to fix this system.""",no,yes,yes
H00260,human,male,1,1,subject,active,,material,yes,no,,To win on the same track where in 2001 he would die.,yes,yes,no
H00026,human,female,1,1,subject,active,,material,no,no,,"The wife of the Sydney man Mohamed Elomar who is fighting with the extremist group ISIS in Syria, has been ordered to face court next week over charges she was preparing to travel to Syria to join the jihadi front.",yes,yes,no
H00281,human,male,1,1,subject,passive,no,mental,no,yes,,Fox 31 reported witnesses said Wright was standing outside his house when he was shot.,yes,yes,no
H00287,human,male,1,1,subject,active,,material,no,no,,He told the rest of the contestants as he continued crying,yes,yes,no
H00287,human,male,1,2,absent,none,,material,yes,no,,"'I thought that (Big Brother) would be fun, I could go .",no,no,yes
H00039,human,female,1,1,absent,none,,material,no,no,,Recovery,no,no,yes
H00039,human,female,1,2,absent,none,,material,no,no,,Patrick the pit bull is seen during his recovery in the days,no,no,yes
H00039,human,female,1,3,subject,active,,material,no,no,,Curtis says she merely left him in the hallway without ever abusing him .,yes,no,yes
H00183,human,female,1,1,absent,none,,material,yes,no,,"Arguing that the pensioner's promise to her should be honoured, Miss Vasileva told the court",no,yes,yes
H00183,human,female,1,2,subject,active,,material,yes,no,,'The fact is she wanted to leave me the flat - what else should I have considered,yes,no,yes
H00183,human,female,1,3,absent,none,,material,no,no,,that was her wish.,no,no,yes
H00325,human,male,1,1,subject,passive,no,material,no,no,,"He is seen here in one of those films, 'East Of Eden' alongside Lois Smith .",yes,yes,no
H00147,human,female,1,2,subject,active,,material,no,no,,she's very level-headed,yes,yes,no
H00147,human,female,1,3,absent,none,,material,no,no,,her feet are well,no,no,yes
H00147,human,female,1,4,absent,none,,material,no,no,,truly on the ground.,no,no,yes
H00354,human,male,1,1,subject,active,,material,no,no,,"""There's no question that the American people have tired of war just like the Afghan people have tired of war,"" he added",yes,yes,no
H00354,human,male,1,2,absent,none,,material,yes,no,,stressing that the U.S. government would continue with its strategy in Afghanistan.,no,no,yes
H00075,human,female,1,1,subject,active,,material,no,no,,As Malcolm McGregor she had worked for both sides of politics .,yes,yes,no
H00011,human,female,1,1,absent,none,,material,no,no,,Support,no,no,yes
H00011,human,female,1,2,subject,active,,material,no,no,,"Stacey admitted that she lost the weight quicker than her sister,",yes,yes,no
H00011,human,female,1,3,absent,none,,material,no,no,,needed Katie to help her maintain it .,no,no,yes
H00252,human,male,1,1,subject,active,,material,no,no,,"'easily 20ft long', a measurement he said was accurate",yes,no,yes
H00252,human,male,1,2,absent,none,,material,no,no,,that is .,no,no,yes
H00169,human,female,1,1,subject,active,,material,no,no,,"'Want to see their idea of a matured woman,' she writes beside a picture of a childlike empress.",yes,yes,no
H00081,human,female,1,1,absent,none,,material,no,no,,Special needs,no,no,yes
H00081,human,female,1,2,absent,none,,mental,no,no,,"Morgan Arnold's mother, Cindi Arnold, said her daughter, pictured, had special needs",no,yes,yes
H00081,human,female,1,3,subject,active,,material,yes,no,,that she would comment on the charges when the time was right .,yes,no,yes
H00214,human,male,1,1,absent,none,,material,no,no,,'It's so good to get home,no,no,yes
H00214,human,male,1,2,absent,none,,material,no,no,,the long English season,no,no,yes
H00214,human,male,1,3,subject,active,,mental,no,no,,"to play in the local comp down in Scone,' he said.",yes,yes,no
H00180,human,female,1,1,absent,none,,material,no,no,,"""This is an ongoing investigation,",no,no,yes
H00180,human,female,1,2,subject,active,,mental,no,no,,"we're moving very quickly,"" she said.",yes,yes,no
H00119,human,female,1,1,subject,passive,no,material,no,no,,"'She was devastated,' Ms Jones told the MailOnline.",yes,yes,no
H00219,human,male,1,1,absent,none,,material,no,no,,"The situation in Zengcheng remains tense, according to a businessman who asked to be identified only by his surname, Hu,",no,yes,yes
H00219,human,male,1,2,subject,active,,material,no,yes,,he was concerned about reprisals from government officials.,yes,no,yes
H00097,human,female,1,1,subject,active,,material,no,no,,She never regained consciousness,yes,yes,no
H00097,human,female,1,2,absent,none,,material,no,no,,its conclusion.,no,no,yes
H00092,human,female,1,1,subject,active,,material,no,yes,,"In the posting, Kardashian talked about the pressures of reality television, saying she had a difficult time making the decision to film her wedding.",yes,yes,no
H00035,human,female,1,1,absent,none,,material,no,yes,,"The Lone Peak ambulance arrived at 6.06pm, about 26 minutes",no,yes,yes
H00035,human,female,1,2,absent,none,,material,no,no,,the 911 call was made,no,no,yes
H00035,human,female,1,3,absent,none,,material,no,yes,,about 20 minutes,no,no,yes
H00035,human,female,1,4,subject,passive,no,material,no,no,,she was found.,yes,no,yes
H00317,human,male,1,1,subject,passive,no,material,no,no,,He was arrested this week in a major FBI sting .,yes,yes,no
H00038,human,female,1,1,subject,active,,material,no,no,,She testified that she helped Escoto plan,yes,yes,no
H00038,human,female,1,2,absent,none,,material,no,no,,"carry out the murder of his new bride, Wendy Trapaga, 21, in 2002 .",no,no,yes
H00326,human,male,1,1,absent,none,,material,no,no,,With Mia safe,no,no,yes
H00326,human,male,1,2,absent,none,,relational,no,no,,sound Di Maria was able to turn his full attention back to playing football,no,no,yes
H00326,human,male,1,3,absent,none,,material,no,no,,Real Madrid had signed Bale in his place,no,no,yes
H00326,human,male,1,4,subject,active,,material,no,yes,,he appeared to be facing up to a season on the bench.,yes,no,yes
H00333,human,male,1,1,subject,active,,material,no,no,,"The White House spent $2,952,278 in flight expenses this year for two trips President Barack Obama took on which he spent a large chunk of his time playing golf.",yes,yes,no
H00202,human,male,1,1,subject,active,,material,no,no,,Sterling makes no mistake as he fires the ball towards goal for Liverpool's third of the evening .,yes,yes,no
H00114,human,female,1,1,subject,active,,material,yes,no,,A Triple J spokeswoman told Daily Mail Australia last week she could not comment on the movement.,yes,yes,no
H00020,human,female,1,1,subject,active,,material,no,no,,She makes a ton of money.,yes,yes,no
H00078,human,female,1,1,subject,active,,material,no,no,,"The Duchess of Cambridge's sister Piipa (left) has been appointed a 'contributing editor' for Vanity Fair (right), signing a lucrative deal to supply the respected US magazine with her thoughts on 'classic British pastimes' The six-page feature also includes a glossy photoshoot showing Pippa, 29, in form-fitting tennis whites as she leaps athletically in the air - with make-up",yes,yes,no
H00078,human,female,1,2,absent,none,,material,no,no,,"hair still immaculate, of course.",no,no,yes
H00095,human,female,1,1,subject,active,,mental,no,no,,She said it was unclear what was unfolding at the main police station.,yes,yes,no
H00304,human,male,1,1,absent,none,,material,no,no,,"'We've been making whiskey a long time,",no,no,yes
H00304,human,male,1,2,subject,active,,mental,yes,no,,"we know that would not uphold the quality that people expect from Tennessee whiskey,' he said.",yes,yes,no
H00140,human,female,1,1,absent,none,,material,no,no,,Suni Faith Anderson fainted,no,yes,yes
H00140,human,female,1,2,absent,none,,material,no,no,,hit her head on a table,no,no,yes
H00140,human,female,1,3,subject,active,,material,yes,no,,Judge Eric Ludlow told her she would serve up to 15 years.,yes,no,yes
H00277,human,male,1,1,subject,active,,material,yes,no,,He told me that I did not ask if my patrol car can dirty the air - did you?,yes,yes,no
H00315,human,male,1,1,absent,none,,material,no,no,,Alan Diaz keeps asking the same question everyone is,no,yes,yes
H00315,human,male,1,2,subject,active,,material,yes,yes,,"How could this person he knew, who seemed a little off, kill children?",yes,no,yes
H00289,human,male,1,1,absent,none,,material,no,no,,"James stood up for the boy,",no,yes,yes
H00289,human,male,1,2,subject,active,,material,no,no,,he,yes,no,yes
H00289,human,male,1,3,absent,none,,material,no,no,,Dooley had a confrontation.,no,no,yes
H00049,human,female,1,1,absent,none,,material,no,no,,I felt like I was going to die in there,no,yes,yes
H00049,human,female,1,2,subject,active,,material,no,no,,"of the anxiety I was feeling,' she told the station.",yes,no,yes
H00158,human,female,1,1,absent,none,,material,yes,no,,(and) would state at that point that it was,no,yes,yes
H00158,human,female,1,2,subject,active,,material,yes,no,,she was a woman rather than there was a difference of view as to how things could proceed.',yes,no,yes
H00107,human,female,1,1,subject,active,,material,no,no,,She had her own mind,yes,yes,no
H00107,human,female,1,2,absent,none,,material,no,no,,was very independent,no,no,yes
H00107,human,female,1,3,subject,active,,material,no,no,,she was very friendly,yes,no,yes
H00107,human,female,1,4,subject,active,,material,yes,no,,would do anything for anybody if she could. ',yes,no,yes
H00106,human,female,1,1,absent,none,,material,no,no,,Federal investigators learned of the affair,no,yes,yes
H00106,human,female,1,2,subject,active,,material,no,no,,"Kelley complained to an FBI agent that she was receiving harassing e-mails from a woman later identified as Petraeus's mistress, Paula Broadwell.",yes,no,yes
H00199,human,male,1,2,absent,none,,material,no,no,,we have to regroup,no,no,yes
H00199,human,male,1,3,subject,active,,material,no,no,,"there's still everything to play for,"" he added.",yes,yes,no
H00313,human,male,1,1,subject,passive,no,material,no,no,,He was forced to undergo keyhole surgery,yes,yes,no
H00313,human,male,1,2,absent,none,,material,no,no,,missed Uruguay's opening game defeat by Costa Rica,no,no,yes
H00313,human,male,1,3,absent,none,,material,no,no,,making a near miraculous return in time to face England just five weeks,no,no,yes
H00313,human,male,1,4,absent,none,,material,no,no,,"his operation, scoring both goals in the South American side's 2-1 win.",no,no,yes
H00128,human,female,1,1,subject,active,,material,yes,no,,"Maria is playing really well, she can win the tournament.""",yes,yes,no
H00229,human,male,1,1,absent,none,,material,no,no,,At 3.14am was Aerosmith's duet with Run DMC,no,no,yes
H00229,human,male,1,2,absent,none,,material,no,no,,"Walk This Way, which Mr Beale gave a 1 in ten",no,no,yes
H00229,human,male,1,3,absent,none,,material,no,no,,called 'the lowest point of the performance',no,no,yes
H00229,human,male,1,4,subject,active,,mental,no,no,,"its chorus was repeated every ten minutes for the rest of the night, he said.",yes,yes,no
H00174,human,female,1,1,subject,active,,mental,no,yes,,Mrs. Obama said she wanted to appear with Laura Bush,yes,yes,no
H00174,human,female,1,2,absent,none,,material,no,no,,'I like this woman.',no,no,yes
H00152,human,female,1,1,subject,passive,no,material,no,no,,"telling Burns she had got lost, driven the wrong way",yes,yes,no
H00152,human,female,1,2,absent,none,,material,no,no,,slept in her .,no,no,yes
H00012,human,female,1,1,subject,active,,material,no,no,,"She opted to keep the child, who is believed to have been born in early 2014.",yes,yes,no
H00291,human,male,1,1,subject,passive,yes,material,no,no,,"He is being represented by Jason Flores-Williams, co-founder of the Whistleblower Defense League,",yes,yes,no
H00291,human,male,1,2,absent,none,,material,no,no,,is soliciting donations for his defense online.,no,no,yes
H00070,human,female,1,1,subject,active,,material,no,no,,"I know what Phoebe felt as she walked the halls as a freshman at a Massachusetts school, listening to the jeers",yes,yes,no
H00070,human,female,1,2,subject,active,,material,yes,no,,"whispers, praying she could make it to homeroom",yes,no,yes
H00070,human,female,1,3,absent,none,,material,no,no,,math class in one piece.,no,no,yes
H00253,human,male,1,1,subject,active,,material,no,no,,"He has now written to the show's creator, Matt Groening, urging him to put the cartoon character on a 'realistic' healthy eating plan in an attempt to slim him down.",yes,yes,no
H00210,human,male,1,1,absent,none,,material,no,no,,'The value of the lead was,no,no,yes
H00210,human,male,1,2,subject,active,,mental,no,no,,"a small proportion of the cost inflicted upon the churches concerned,' he said.",yes,yes,no
H00285,human,male,1,1,subject,active,,material,no,no,,"He has a lot of friends in the paddock - obviously being a Frenchman many of them are from France - so I have been spending some time with them, particularly Jean-Eric Vergne.",yes,yes,no
H00071,human,female,1,1,subject,active,,relational,no,no,,She was so surprised that Cliff had to ask her twice,yes,no,yes
H00071,human,female,1,2,subject,active,,material,no,no,,she managed to say 'yes'.,yes,no,yes
H00144,human,female,1,1,absent,none,,material,no,no,,"Stoke-on-Trent, to help get her back into her flat",no,no,yes
H00144,human,female,1,2,subject,passive,no,material,no,no,,she was locked .,yes,no,yes
H00010,human,female,1,1,subject,active,,material,no,no,,"Guinness World Records doesn't feature their family in every edition, so she carries a 2003 copy to show doubters.",yes,yes,no
H00245,human,male,1,1,subject,active,,material,no,no,,"He called the evidence against Demjanjuk ""overwhelming.""",yes,yes,no
H00349,human,male,1,1,subject,active,,material,no,no,,"He cared for everybody, it doesn't matter who you were.",yes,yes,no
H00247,human,male,1,1,subject,active,,material,no,yes,,He also spoke about George about how much he's loving his Dad role.',yes,yes,no
H00244,human,male,1,1,absent,none,,material,no,no,,"The results didn't turn up bones, body parts",no,no,yes
H00244,human,male,1,2,subject,active,,mental,no,no,,"other evidence, he said.",yes,yes,no
H00208,human,male,1,1,subject,active,,mental,no,no,,"Philip Seymour Hoffman, who plays the priest targeted by Streep's character in the film, says he ""adores"" her.",yes,yes,no
H00160,human,female,1,2,absent,none,,material,yes,no,,"Bush expressed confidence that her husband will ultimately be remembered as ""somebody who stood for freedom",no,no,yes
H00160,human,female,1,3,subject,active,,material,no,yes,,"who stood for the security of our country,"" she admitted that she's worried about the current situation in Afghanistan.",yes,yes,no
H00251,human,male,1,1,subject,active,,mental,no,yes,,'He does not appear to have sustained any injury,yes,yes,no
H00251,human,male,1,2,absent,none,,material,yes,no,,could just be not used to encountering humans.,no,no,yes
H00216,human,male,1,1,subject,passive,no,material,no,no,,He was treated at the same hospital for a bladder infection in 2002 .,yes,yes,no
H00100,human,female,1,1,subject,active,,material,no,no,,"A stash of cannabis was also found in the home, which she then explained she needed to 'come down'",yes,yes,no
H00100,human,female,1,2,absent,none,,material,no,no,,doing .,no,no,yes
H00123,human,female,1,1,subject,active,,material,no,no,,The tennis star has shown that again that she is taking her Australian Open defeat to Victoria Azarenka in her stride,yes,yes,no
H00123,human,female,1,2,absent,none,,material,no,no,,took full advantage of her opportunity to have fun on the sand in the Dubai desert.,no,no,yes
H00032,human,female,1,1,subject,active,,material,yes,no,,She could certainly look at what Eugenie Bouchard has achieved in the intervening time,yes,yes,no
H00032,human,female,1,2,subject,active,,material,no,no,,"believe she is able to exceed that, as she is more than her equal in physical talent alone.",yes,no,yes
H00335,human,male,1,1,absent,none,,material,no,no,,"So in June last year Gilbert, who has two daughters",no,no,yes
H00335,human,male,1,2,subject,active,,material,no,no,,"is a grandfather, was introduced to Christine Bell, whose home he burgled twice.",yes,yes,no
H00157,human,female,1,1,subject,active,,material,no,no,,"the dance, Pamela admitted she had struggled with her dress, with host .",yes,yes,no
H00044,human,female,1,1,subject,active,,mental,no,no,,"Speaking on the documentary Bodyshockers, which airs on Channel 4 tonight, she said",yes,yes,no
H00044,human,female,1,2,absent,none,,material,no,no,,'I was a wild child when I was a teenager,no,no,yes
H00044,human,female,1,3,absent,none,,material,no,no,,I'm far from that now. ',no,no,yes
H00155,human,female,1,1,subject,active,,material,no,yes,,"Bush indicated that she didn't think it was fair for Obama to be labeled a ""socialist"" by critics",yes,yes,no
H00155,human,female,1,2,absent,none,,material,no,no,,expressed her disappointment with the intensely polarized nature of contemporary American politics.,no,no,yes
H00159,human,female,1,1,subject,active,,mental,no,no,,"She said when she arrived in Bosnia on March 25, 1996, ""I remember landing under sniper fire.",yes,yes,no
H00008,human,female,1,1,subject,active,,mental,no,no,,"Park said Monday that she was ""viewing the threat from North Korea in a serious manner.""",yes,yes,no
H00121,human,female,1,1,subject,active,,material,yes,no,,"If it wasn't for the tube she still has, you wouldn't know there was anything wrong.",yes,yes,no
H00205,human,male,1,1,absent,none,,material,no,no,,"Lauren Silverman, who has enjoyed holidays on Cowell's yacht - sometimes with her husband",no,no,yes
H00205,human,male,1,2,absent,none,,material,no,yes,,"sometimes just with the X-Factor creator, lived a life of luxury that was empty without her husband Andrew around",no,no,yes
H00205,human,male,1,3,subject,active,,mental,no,no,,"he was often away on business, the man who raised her has claimed.",yes,yes,no
H00279,human,male,1,1,subject,active,,relational,no,no,,Holtby had been on the field only 10 minutes when he fell badly on his shoulder,yes,no,yes
H00279,human,male,1,2,absent,none,,material,no,no,,clashing with Frankfurt's Martin Lanig.,no,no,yes
H00148,human,female,1,1,absent,none,,material,no,no,,"Solo had pleaded not guilty in that case,",no,yes,yes
H00148,human,female,1,2,subject,active,,material,no,no,,she continued to play for the U.S. team,yes,no,yes
H00148,human,female,1,3,absent,none,,material,no,no,,"with her National Women's Soccer League team, the Seattle Reign,",no,no,yes
H00148,human,female,1,4,absent,none,,material,no,no,,awaiting trial.,no,no,yes
H00007,human,female,1,1,subject,active,,relational,no,no,,Not that she is averse to original material.,yes,no,yes
H00094,human,female,1,1,subject,active,,material,yes,no,,"Ashamed Cho could face up to 15 years in prison if found guilty of all four charges she faces, according to Attorney Park Jin Nyoung, spokesman for the Korean Bar Association.",yes,yes,no
H00320,human,male,1,1,subject,passive,no,material,no,no,,"Afterwards, John Hay, the show's Commissioning Editor, told Femail that he's been waking up with the tunes in his head",yes,yes,no
H00320,human,male,1,2,absent,none,,material,no,no,,walking down the street humming them.,no,no,yes
H00060,human,female,1,1,subject,active,,material,no,yes,,"Carole had married her first husband Steven Davis in 1973 when she was about 20,",yes,yes,no
